Current,Elevation
9.299999999999999378e-01,1.668674841912202567e+01
9.324999999999999956e-01,1.670755394617427214e+01
9.350000000000000533e-01,1.650861831879383601e+01
9.375000000000000000e-01,1.650065587787905486e+01
9.399999999999999467e-01,1.645576702870283725e+01
9.425000000000000044e-01,1.644567184351132028e+01
9.450000000000000622e-01,1.627887192275308337e+01
9.475000000000000089e-01,1.615941441740700668e+01
9.499999999999999556e-01,1.601130776132400513e+01
9.525000000000000133e-01,1.534769097088980061e+01
9.550000000000000711e-01,1.540089814668645829e+01
9.575000000000000178e-01,1.587026322676892676e+01
9.599999999999999645e-01,1.593929522716810254e+01
9.625000000000000222e-01,1.614646214344800512e+01
9.650000000000000799e-01,1.622329904465860295e+01
9.675000000000000266e-01,1.624685898302675469e+01
9.699999999999999734e-01,1.631138003594107033e+01
9.725000000000000311e-01,1.620896051483079248e+01
9.750000000000000888e-01,1.625610438422562254e+01
9.775000000000000355e-01,1.640029346953481593e+01
9.799999999999999822e-01,1.657712077452136157e+01
9.824999999999999289e-01,1.667648123844125507e+01
9.849999999999999867e-01,1.664675298478866239e+01
9.875000000000000444e-01,1.663759051450773541e+01
9.899999999999999911e-01,1.655251824845954900e+01
9.924999999999999378e-01,1.656582637954045367e+01
9.949999999999999956e-01,1.647822857236795357e+01
9.975000000000000533e-01,1.647927901033763476e+01
1.000000000000000000e+00,1.649188671074017520e+01
1.002499999999999947e+00,1.633044750447346871e+01
1.004999999999999893e+00,1.625951691850228542e+01
1.007500000000000062e+00,1.622139050022094864e+01
1.010000000000000009e+00,1.618770057712627874e+01
1.012499999999999956e+00,1.591766445901252780e+01
1.015000000000000124e+00,1.573488133880489670e+01
1.017500000000000071e+00,1.555412371308700870e+01
1.020000000000000018e+00,1.561942038629449314e+01
1.022499999999999964e+00,1.568143248067764262e+01
1.024999999999999911e+00,1.561989126941394090e+01
1.027499999999999858e+00,1.555189001021260253e+01
1.030000000000000027e+00,1.553876645774701615e+01
1.032499999999999973e+00,1.549713729758067871e+01
1.035000000000000142e+00,1.549011550138713744e+01
1.037500000000000089e+00,1.553089414955664438e+01
1.040000000000000036e+00,1.549539092779039606e+01
1.042499999999999982e+00,1.532454542834825872e+01
1.044999999999999929e+00,1.553987072432786931e+01
1.047499999999999876e+00,1.555000313926917954e+01
1.050000000000000044e+00,1.553292515990725065e+01
1.052499999999999991e+00,1.570737805996411396e+01
1.055000000000000160e+00,1.567870466881403502e+01
1.057500000000000107e+00,1.570704534504812955e+01
1.060000000000000053e+00,1.574829377852175583e+01
1.062500000000000000e+00,1.571466925678571158e+01
1.064999999999999947e+00,1.569143628966148185e+01
1.067499999999999893e+00,1.571161287332157031e+01
1.070000000000000062e+00,1.581435321756960377e+01
1.072500000000000009e+00,1.579242240947155551e+01
1.075000000000000178e+00,1.585449359606887754e+01
1.077500000000000124e+00,1.590757192465993342e+01
1.080000000000000071e+00,1.589453987399265600e+01
1.082500000000000018e+00,1.582059739185052649e+01
1.084999999999999964e+00,1.588462798789237240e+01
1.087499999999999911e+00,1.586827744064733281e+01
1.089999999999999858e+00,1.573718100077465465e+01
1.092500000000000027e+00,1.573674659280800370e+01
1.094999999999999973e+00,1.565521876523574463e+01
1.097500000000000142e+00,1.558681651593079209e+01
1.100000000000000089e+00,1.560226572912655740e+01
1.102500000000000036e+00,1.544032734759271364e+01
1.104999999999999982e+00,1.530446317523967537e+01
1.107499999999999929e+00,1.507630102607035383e+01
1.109999999999999876e+00,1.474109047974175724e+01
1.112500000000000044e+00,1.415559711468969795e+01
1.114999999999999991e+00,1.455801631930494011e+01
